机场,起飞/到达,航线名,机型,每周班期,参考准点率,航空公司/航班号,价格排序,出发时间
哈尔滨太平国际机场;上海浦东国际机场,07:40;10:45,哈尔滨到上海,,1111111,,四川航空;3U3127,-,,
哈尔滨太平国际机场;上海浦东国际机场,07:40;10:45,哈尔滨到上海,,1111111,,南方航空;CZ6257,-,,
天津滨海国际机场;上海浦东国际机场,07:40;09:45,天津到上海,,0111011,,上海航空;FM9070,-,,
天津滨海国际机场;上海浦东国际机场,07:40;09:45,天津到上海,,0111011,,东方航空;MU9070,¥410起;09-28周六,,
海口美兰国际机场;上海浦东国际机场,07:45;12:05,海口到上海,,0101010,,天津航空;GS6587,-,,
揭阳潮汕机场;上海浦东国际机场,07:45;10:00,揭阳到上海,,1111111,,南方航空;CZ3851,-,,
昆明长水国际机场;上海浦东国际机场,07:45;11:00,昆明到上海,,1110110,,东方航空;MU747,-,,
昆明长水国际机场;上海浦东国际机场,07:45;11:05,昆明到上海,,0001001,,东方航空;MU747,-,,
长沙黄花国际机场;上海浦东国际机场,07:50;09:55,长沙到上海,,1000000,,南方航空;CZ9391,-,,
长沙黄花国际机场;上海浦东国际机场,07:50;09:55,长沙到上海,,1000000,,吉祥航空;HO3678,-,,
长沙黄花国际机场;上海浦东国际机场,07:50;09:55,长沙到上海,,1000000,,东方航空;MU5368,-,,
深圳宝安国际机场;上海浦东国际机场,07:55;10:15,深圳到上海,,1111111,,四川航空;3U4051,-,,
深圳宝安国际机场;上海浦东国际机场,07:55;10:15,深圳到上海,,1111111,,中国国航;CA3801,-,,
厦门高崎国际机场;上海浦东国际机场,07:55;10:05,厦门到上海,,0101010,,中国国航;CA4941,-,,
长春龙嘉国际机场;上海浦东国际机场,07:55;11:00,长春到上海,,1111100,,南方航空;CZ6541,-,,
深圳宝安国际机场;上海浦东国际机场,07:55;10:15,深圳到上海,,1111111,,吉祥航空;HO3951,-,,
深圳宝安国际机场;上海浦东国际机场,07:55;10:15,深圳到上海,,1111111,,昆明航空;KY9501,-,,
成都双流国际机场;上海浦东国际机场,07:55;10:40,成都到上海,,0000101,,东方航空;MU5037,-,,
成都双流国际机场;上海浦东国际机场,07:55;10:40,成都到上海,,1111000,,东方航空;MU5296,-,,
成都双流国际机场;上海浦东国际机场,07:55;10:55,成都到上海,,1000000,,东方航空;MU5488,-,,
福州长乐国际机场;上海浦东国际机场,07:55;09:20,福州到上海,,1111111,,东方航空;MU587,-,,
厦门高崎国际机场;上海浦东国际机场,07:55;10:05,厦门到上海,,0101010,,山东航空;SC4941,-,,
深圳宝安国际机场;上海浦东国际机场,07:55;10:15,深圳到上海,,1111111,,深圳航空;ZH9501,-,,
厦门高崎国际机场;上海浦东国际机场,08:00;10:05,厦门到上海,,1010101,,中国国航;CA4941,-,,
长春龙嘉国际机场;上海浦东国际机场,08:00;10:55,长春到上海,,1110100,,上海航空;FM9160,-,,
长春龙嘉国际机场;上海浦东国际机场,08:00;11:00,长春到上海,,0001001,,上海航空;FM9160,-,,
长春龙嘉国际机场;上海浦东国际机场,08:00;11:05,长春到上海,,0000010,,上海航空;FM9160,-,,
成都双流国际机场;上海浦东国际机场,08:00;10:50,成都到上海,,0000010,,东方航空;MU5296,-,,
长春龙嘉国际机场;上海浦东国际机场,08:00;10:55,长春到上海,,1110100,,东方航空;MU9160,-,,
厦门高崎国际机场;上海浦东国际机场,08:00;10:05,厦门到上海,,1010101,,山东航空;SC4941,¥700起;10-05周六,,
沈阳桃仙国际机场;上海浦东国际机场,08:05;10:40,沈阳到上海,,1111111,,南方航空;CZ6503,-,,
三亚凤凰国际机场;上海浦东国际机场,08:05;11:20,三亚到上海,,1111111,,南方航空;CZ6753,-,,
揭阳潮汕机场;上海浦东国际机场,08:05;10:20,揭阳到上海,,0111011,,上海航空;FM9300,-,,
揭阳潮汕机场;上海浦东国际机场,08:05;10:20,揭阳到上海,,0111011,,东方航空;MU9300,-,,
珠海金湾机场;上海浦东国际机场,08:15;10:55,珠海到上海,,1111111,,南方航空;CZ3689,-,,
珠海金湾机场;上海浦东国际机场,08:15;10:55,珠海到上海,,1111111,,厦门航空;MF1652,-,,
重庆江北国际机场;上海浦东国际机场,08:20;10:50,重庆到上海,,1111111,,南方航空;CZ8107,-,,
重庆江北国际机场;上海浦东国际机场,08:20;10:50,重庆到上海,,1111111,,重庆航空;OQ2307,-,,
海口美兰国际机场;上海浦东国际机场,08:25;11:25,海口到上海,,1111001,,南方航空;CZ3515,-,,
郑州新郑国际机场;上海浦东国际机场,08:25;10:20,郑州到上海,,1111111,,上海航空;FM9346,-,,
海口美兰国际机场;上海浦东国际机场,08:25;11:25,海口到上海,,1111001,,东方航空;MU3261,-,,
郑州新郑国际机场;上海浦东国际机场,08:25;10:20,郑州到上海,,1111111,,东方航空;MU9346,-,,
温州龙湾国际机场;上海浦东国际机场,08:35;09:45,温州到上海,,1011000,,上海航空;FM9520,-,,
温州龙湾国际机场;上海浦东国际机场,08:35;09:45,温州到上海,,1011000,,东方航空;MU9520,-,,
青岛流亭国际机场;上海浦东国际机场,08:45;10:25,青岛到上海,,1101111,,中国国航;CA4601,-,,
温州龙湾国际机场;上海浦东国际机场,08:45;09:55,温州到上海,,0100111,,上海航空;FM9520,-,,
温州龙湾国际机场;上海浦东国际机场,08:45;09:55,温州到上海,,0100111,,东方航空;MU9520,-,,
青岛流亭国际机场;上海浦东国际机场,08:45;10:25,青岛到上海,,1101111,,山东航空;SC4601,-,,
昆明长水国际机场;上海浦东国际机场,08:50;11:50,昆明到上海,,0000101,,东方航空;MU756,-,,
昆明长水国际机场;上海浦东国际机场,08:50;12:00,昆明到上海,,0010000,,东方航空;MU756,-,,
西安咸阳国际机场;上海浦东国际机场,08:55;11:25,西安到上海,,0010101,,东方航空;MU5010,-,,
银川河东机场;上海浦东国际机场,09:00;13:35,银川到上海,,1111111,,东方航空;MU5608,-,,
重庆江北国际机场;上海浦东国际机场,09:00;11:40,重庆到上海,,1011111,,四川航空;3U5025,-,,
重庆江北国际机场;上海浦东国际机场,09:00;11:40,重庆到上海,,1011111,,吉祥航空;HO3724,-,,
重庆江北国际机场;上海浦东国际机场,09:00;11:40,重庆到上海,,1011111,,东方航空;MU5424,-,,
大连周水子国际机场;上海浦东国际机场,09:05;11:00,大连到上海,,1111111,,南方航空;CZ9172,-,,
大连周水子国际机场;上海浦东国际机场,09:05;11:00,大连到上海,,1011101,,厦门航空;MF3061,-,,
大连周水子国际机场;上海浦东国际机场,09:05;11:00,大连到上海,,1111111,,东方航空;MU5674,-,,
哈尔滨太平国际机场;上海浦东国际机场,09:20;14:15,哈尔滨到上海,,1111111,,东方航空;MU5616,-,,
威海大水泊机场;上海浦东国际机场,09:25;11:20,威海到上海,,1111111,,天津航空;GS6429,-,,
厦门高崎国际机场;上海浦东国际机场,09:30;11:25,厦门到上海,,1111111,,吉祥航空;HO1387,-,,
厦门高崎国际机场;上海浦东国际机场,09:30;11:25,厦门到上海,,1111111,,东方航空;MU4696,-,,
大同云冈机场;上海浦东国际机场,09:30;12:05,大同到上海,,1010100,,东方航空;MU5248,-,,
昆明长水国际机场;上海浦东国际机场,09:35;14:25,昆明到上海,,1111111,,东方航空;MU5464,¥930起;09-15周日,,
深圳宝安国际机场;上海浦东国际机场,09:40;11:55,深圳到上海,,1111111,,四川航空;3U4053,-,,
深圳宝安国际机场;上海浦东国际机场,09:40;11:55,深圳到上海,,1111111,,中国国航;CA3803,-,,
秦皇岛北戴河机场;上海浦东国际机场,09:40;11:55,秦皇岛到上海,,0010110,,上海航空;FM9142,-,,
秦皇岛北戴河机场;上海浦东国际机场,09:40;12:00,秦皇岛到上海,,0001000,,上海航空;FM9142,-,,
深圳宝安国际机场;上海浦东国际机场,09:40;11:55,深圳到上海,,1111111,,吉祥航空;HO3953,-,,
深圳宝安国际机场;上海浦东国际机场,09:40;11:55,深圳到上海,,1111111,,昆明航空;KY9503,-,,
深圳宝安国际机场;上海浦东国际机场,09:40;11:55,深圳到上海,,1111111,,深圳航空;ZH9503,-,,
深圳宝安国际机场;上海浦东国际机场,09:45;12:10,深圳到上海,,1000100,,南方航空;CZ8517,-,,
邯郸机场;上海浦东国际机场,09:45;11:35,邯郸到上海,,0101001,,南方航空;CZ9246,-,,
邯郸机场;上海浦东国际机场,09:45;11:35,邯郸到上海,,0101001,,吉祥航空;HO3764,-,,
邯郸机场;上海浦东国际机场,09:45;11:35,邯郸到上海,,0101001,,东方航空;MU5638,-,,
深圳宝安国际机场;上海浦东国际机场,09:50;12:10,深圳到上海,,0101000,,南方航空;CZ6751,-,,
