机场,起飞/到达,航线名,机型,每周班期,参考准点率,航空公司/航班号,价格排序,出发时间
银川河东机场;上海浦东国际机场,12:05;15:10,银川到上海,,1111111,,吉祥航空;HO1335,-,,
昆明长水国际机场;上海浦东国际机场,12:05;15:15,昆明到上海,,1111111,,东方航空;MU3264,-,,
绵阳南郊机场;上海浦东国际机场,12:05;14:40,绵阳到上海,,1111111,,东方航空;MU9412,-,,
长春龙嘉国际机场;上海浦东国际机场,12:10;17:00,长春到上海,,0101010,,中国国航;CA3276,-,,
长春龙嘉国际机场;上海浦东国际机场,12:10;16:55,长春到上海,,1010001,,吉祥航空;HO1664,-,,
长春龙嘉国际机场;上海浦东国际机场,12:10;17:00,长春到上海,,0101010,,吉祥航空;HO1664,-,,
长春龙嘉国际机场;上海浦东国际机场,12:10;17:05,长春到上海,,0000100,,吉祥航空;HO1664,-,,
长春龙嘉国际机场;上海浦东国际机场,12:10;17:00,长春到上海,,0101010,,东方航空;MU4882,-,,
西安咸阳国际机场;上海浦东国际机场,12:10;14:15,西安到上海,,0001010,,东方航空;MU258,-,,
神农架红坪机场;上海浦东国际机场,12:20;16:15,神农架到上海,,0001010,,东方航空;MU5372,-,,
淮安涟水机场;上海浦东国际机场,12:20;13:35,淮安到上海,,1111111,,南方航空;CZ9367,-,,
武汉天河国际机场;上海浦东国际机场,12:20;13:50,武汉到上海,,1111111,,南方航空;CZ9378,-,,
武汉天河国际机场;上海浦东国际机场,12:20;13:50,武汉到上海,,1111111,,东方航空;MU2543,-,,
淮安涟水机场;上海浦东国际机场,12:20;13:35,淮安到上海,,1111111,,东方航空;MU5608,-,,
天津滨海国际机场;上海浦东国际机场,12:30;14:30,天津到上海,,1111111,,上海航空;FM9132,-,,
天津滨海国际机场;上海浦东国际机场,12:30;14:30,天津到上海,,1111111,,东方航空;MU9132,-,,
西昌青山机场;上海浦东国际机场,12:35;15:50,西昌到上海,,0010101,,东方航空;MU5632,-,,
三亚凤凰国际机场;上海浦东国际机场,12:40;16:00,三亚到上海,,1010100,,南方航空;CZ3835,-,,
长沙黄花国际机场;上海浦东国际机场,12:40;15:00,长沙到上海,,1111111,,南方航空;CZ3967,-,,
大连周水子国际机场;上海浦东国际机场,12:40;14:45,大连到上海,,1111111,,南方航空;CZ6523,-,,
南宁吴圩国际机场;上海浦东国际机场,12:40;15:40,南宁到上海,,1111111,,上海航空;FM9386,-,,
大连周水子国际机场;上海浦东国际机场,12:40;14:45,大连到上海,,1111111,,东方航空;MU3239,-,,
长沙黄花国际机场;上海浦东国际机场,12:40;15:00,长沙到上海,,1111111,,东方航空;MU3429,-,,
南宁吴圩国际机场;上海浦东国际机场,12:40;15:40,南宁到上海,,1111111,,东方航空;MU9386,-,,
白山长机场;上海浦东国际机场,12:45;17:35,白山到上海,,1111111,,南方航空;CZ6155,-,,
白山长机场;上海浦东国际机场,12:45;17:35,白山到上海,,1111111,,东方航空;MU3402,-,,
抚远东极机场;上海浦东国际机场,12:55;18:10,抚远到上海,,1010101,,中国国航;CA1984,-,,
抚远东极机场;上海浦东国际机场,12:55;18:10,抚远到上海,,1010101,,深圳航空;ZH1984,-,,
长春龙嘉国际机场;上海浦东国际机场,12:55;16:05,长春到上海,,0001111,,南方航空;CZ6543,-,,
运城关公机场;上海浦东国际机场,12:55;15:00,运城到上海,,0101001,,吉祥航空;HO3742,-,,
北京首都国际机场;上海浦东国际机场,12:55;15:20,北京到上海,,1011110,,东方航空;MU271,-,,
长春龙嘉国际机场;上海浦东国际机场,12:55;16:05,长春到上海,,0001111,,东方航空;MU3407,-,,
运城关公机场;上海浦东国际机场,12:55;15:00,运城到上海,,0101001,,东方航空;MU5192,-,,
赣州黄金机场;上海浦东国际机场,12:55;14:40,赣州到上海,,0100000,,东方航空;MU5574,-,,
兰州中川机场;上海浦东国际机场,13:00;18:05,兰州到上海,,1010101,,东方航空;MU5142,-,,
深圳宝安国际机场;上海浦东国际机场,13:00;15:25,深圳到上海,,1111110,,南方航空;CZ9371,-,,
深圳宝安国际机场;上海浦东国际机场,13:00;15:25,深圳到上海,,1111110,,东方航空;MU5342,-,,
合肥新桥国际机场;上海浦东国际机场,13:00;14:25,合肥到上海,,1111111,,东方航空;MU5464,-,,
广州白云国际机场;上海浦东国际机场,13:05;15:35,广州到上海,,1111000,,上海航空;FM9312,-,,
北京首都国际机场;上海浦东国际机场,13:05;15:20,北京到上海,,0100001,,东方航空;MU271,-,,
哈密机场;上海浦东国际机场,13:05;17:20,哈密到上海,,0100010,,东方航空;MU5606,-,,
广州白云国际机场;上海浦东国际机场,13:05;15:35,广州到上海,,1111000,,东方航空;MU9312,-,,
重庆江北国际机场;上海浦东国际机场,13:10;15:35,重庆到上海,,0010101,,四川航空;3U5027,-,,
重庆江北国际机场;上海浦东国际机场,13:10;15:50,重庆到上海,,1111111,,中国国航;CA157,-,,
长春龙嘉国际机场;上海浦东国际机场,13:10;16:05,长春到上海,,1110000,,南方航空;CZ6543,-,,
重庆江北国际机场;上海浦东国际机场,13:10;15:35,重庆到上海,,0010101,,吉祥航空;HO3726,-,,
重庆江北国际机场;上海浦东国际机场,13:10;15:35,重庆到上海,,0010101,,东方航空;MU5426,-,,
重庆江北国际机场;上海浦东国际机场,13:15;15:35,重庆到上海,,1000000,,四川航空;3U5027,-,,
沈阳桃仙国际机场;上海浦东国际机场,13:15;16:05,沈阳到上海,,1111111,,南方航空;CZ9377,-,,
重庆江北国际机场;上海浦东国际机场,13:15;15:35,重庆到上海,,1000000,,吉祥航空;HO3726,-,,
福州长乐国际机场;上海浦东国际机场,13:15;14:45,福州到上海,,0100010,,厦门航空;MF3050,-,,
福州长乐国际机场;上海浦东国际机场,13:15;14:55,福州到上海,,1011101,,厦门航空;MF3050,-,,
重庆江北国际机场;上海浦东国际机场,13:15;15:35,重庆到上海,,1000000,,东方航空;MU5426,-,,
福州长乐国际机场;上海浦东国际机场,13:15;14:45,福州到上海,,0100010,,东方航空;MU5600,-,,
福州长乐国际机场;上海浦东国际机场,13:15;14:55,福州到上海,,1011101,,东方航空;MU5600,-,,
沈阳桃仙国际机场;上海浦东国际机场,13:15;16:05,沈阳到上海,,1111111,,东方航空;MU5604,-,,
张掖甘州机场;上海浦东国际机场,13:25;17:55,张掖到上海,,0101000,,中国国航;CA3265,-,,
张掖甘州机场;上海浦东国际机场,13:25;17:55,张掖到上海,,0101000,,吉祥航空;HO1104,-,,
张掖甘州机场;上海浦东国际机场,13:25;18:00,张掖到上海,,0000010,,吉祥航空;HO1104,-,,
张掖甘州机场;上海浦东国际机场,13:25;17:55,张掖到上海,,0101000,,东方航空;MU4820,-,,
张掖甘州机场;上海浦东国际机场,13:25;18:00,张掖到上海,,0000010,,东方航空;MU4820,-,,
大连周水子国际机场;上海浦东国际机场,13:25;15:20,大连到上海,,1111110,,上海航空;FM9192,-,,
大连周水子国际机场;上海浦东国际机场,13:25;15:20,大连到上海,,1111110,,东方航空;MU9192,-,,
金昌金川机场;上海浦东国际机场,13:30;17:55,金昌到上海,,1010101,,中国国航;CA3263,-,,
金昌金川机场;上海浦东国际机场,13:30;17:55,金昌到上海,,1010101,,吉祥航空;HO1102,-,,
金昌金川机场;上海浦东国际机场,13:30;17:55,金昌到上海,,1010101,,东方航空;MU4818,-,,
攀枝花保安营机场;上海浦东国际机场,13:30;18:15,攀枝花到上海,,0110101,,东方航空;MU5270,-,,
西安咸阳国际机场;上海浦东国际机场,13:30;15:45,西安到上海,,1111111,,东方航空;MU291,-,,
齐齐哈尔三家子机场;上海浦东国际机场,13:35;18:40,齐齐哈尔到上海,,0101011,,东方航空;MU5628,-,,
伊春林都机场;上海浦东国际机场,13:35;18:40,伊春到上海,,1010100,,东方航空;MU5668,-,,
海拉尔呼伦贝尔东山国际机场;上海浦东国际机场,13:40;18:55,海拉尔到上海,,1000100,,吉祥航空;HO1238,-,,
海拉尔呼伦贝尔东山国际机场;上海浦东国际机场,13:40;18:55,海拉尔到上海,,1000100,,东方航空;MU4900,-,,
成都双流国际机场;上海浦东国际机场,13:40;16:30,成都到上海,,1111111,,东方航空;MU5420,-,,
兴义机场;上海浦东国际机场,13:40;16:40,兴义到上海,,1111110,,东方航空;MU9711,-,,
白山长机场;上海浦东国际机场,13:45;19:00,白山到上海,,1111000,,中国国航;CA3204,-,,
大庆萨尔图机场;上海浦东国际机场,13:45;18:45,大庆到上海,,1111111,,南方航空;CZ6225,¥990起;09-25周三,,
白山长机场;上海浦东国际机场,13:45;19:00,白山到上海,,1111000,,吉祥航空;HO1136,-,,
北海福成机场;上海浦东国际机场,13:45;18:05,北海到上海,,0101010,,吉祥航空;HO1192,-,,
白山长机场;上海浦东国际机场,13:45;19:00,白山到上海,,1111000,,东方航空;MU4852,-,,
白山长机场;上海浦东国际机场,13:45;19:00,白山到上海,,1111000,,深圳航空;ZH5212,-,,
神农架红坪机场;上海浦东国际机场,13:50;17:20,神农架到上海,,1000000,,东方航空;MU5372,-,,
南宁吴圩国际机场;上海浦东国际机场,13:55;18:15,南宁到上海,,1010100,,吉祥航空;HO1054,-,,
南宁吴圩国际机场;上海浦东国际机场,13:55;18:15,南宁到上海,,1010100,,东方航空;MU4904,-,,
长沙黄花国际机场;上海浦东国际机场,14:00;16:05,长沙到上海,,0100000,,中国国航;CA3218,-,,
广州白云国际机场;上海浦东国际机场,14:00;16:20,广州到上海,,1111111,,南方航空;CZ379,-,,
长沙黄花国际机场;上海浦东国际机场,14:00;15:55,长沙到上海,,1001011,,吉祥航空;HO1072,-,,
长沙黄花国际机场;上海浦东国际机场,14:00;16:05,长沙到上海,,0110100,,吉祥航空;HO1072,-,,
长沙黄花国际机场;上海浦东国际机场,14:00;16:05,长沙到上海,,0100000,,东方航空;MU4880,-,,
沈阳桃仙国际机场;上海浦东国际机场,14:05;17:00,沈阳到上海,,0111011,,中国国航;CA3252,-,,
沈阳桃仙国际机场;上海浦东国际机场,14:05;17:00,沈阳到上海,,0111011,,吉祥航空;HO1184,-,,
烟台蓬莱国际机场;上海浦东国际机场,14:05;15:55,烟台到上海,,1111101,,吉祥航空;HO3746,-,,
烟台蓬莱国际机场;上海浦东国际机场,14:05;16:00,烟台到上海,,0000010,,吉祥航空;HO3746,-,,
西双版纳嘎洒国际机场;上海浦东国际机场,14:05;17:55,西双版纳到上海,,1111111,,昆明航空;KY8341,-,,
沈阳桃仙国际机场;上海浦东国际机场,14:05;17:00,沈阳到上海,,0111011,,东方航空;MU4670,-,,
烟台蓬莱国际机场;上海浦东国际机场,14:05;15:55,烟台到上海,,1111101,,东方航空;MU5546,-,,
烟台蓬莱国际机场;上海浦东国际机场,14:05;16:00,烟台到上海,,0000010,,东方航空;MU5546,-,,
沈阳桃仙国际机场;上海浦东国际机场,14:05;17:00,沈阳到上海,,0111011,,深圳航空;ZH5056,-,,
中卫沙坡头机场;上海浦东国际机场,14:10;18:50,中卫到上海,,1010100,,中国国航;CA3286,-,,
中卫沙坡头机场;上海浦东国际机场,14:10;19:00,中卫到上海,,0000001,,中国国航;CA3286,-,,
中卫沙坡头机场;上海浦东国际机场,14:10;18:50,中卫到上海,,1010100,,吉祥航空;HO1008,-,,
中卫沙坡头机场;上海浦东国际机场,14:10;19:00,中卫到上海,,0000001,,吉祥航空;HO1008,-,,
中卫沙坡头机场;上海浦东国际机场,14:10;18:50,中卫到上海,,1010100,,东方航空;MU4832,-,,
中卫沙坡头机场;上海浦东国际机场,14:10;19:00,中卫到上海,,0000001,,东方航空;MU4832,-,,
中卫沙坡头机场;上海浦东国际机场,14:10;18:50,中卫到上海,,1010100,,深圳航空;ZH5018,-,,
中卫沙坡头机场;上海浦东国际机场,14:10;19:00,中卫到上海,,0000001,,深圳航空;ZH5018,-,,
海口美兰国际机场;上海浦东国际机场,14:10;16:55,海口到上海,,0110000,,上海航空;FM9252,-,,
海口美兰国际机场;上海浦东国际机场,14:10;17:00,海口到上海,,1001110,,上海航空;FM9252,-,,
海口美兰国际机场;上海浦东国际机场,14:10;16:55,海口到上海,,0110000,,东方航空;MU9252,-,,
海口美兰国际机场;上海浦东国际机场,14:10;17:00,海口到上海,,1001110,,东方航空;MU9252,-,,
固原六盘山机场;上海浦东国际机场,14:15;18:55,固原到上海,,0101010,,中国国航;CA3230,-,,
固原六盘山机场;上海浦东国际机场,14:15;18:55,固原到上海,,0101010,,吉祥航空;HO1010,-,,
深圳宝安国际机场;上海浦东国际机场,14:15;18:05,深圳到上海,,0000001,,吉祥航空;HO1110,-,,
深圳宝安国际机场;上海浦东国际机场,14:15;18:10,深圳到上海,,0010000,,吉祥航空;HO1110,-,,
固原六盘山机场;上海浦东国际机场,14:15;18:55,固原到上海,,0101010,,东方航空;MU4842,-,,
固原六盘山机场;上海浦东国际机场,14:15;18:55,固原到上海,,0101010,,深圳航空;ZH5120,-,,
南昌昌北国际机场;上海浦东国际机场,14:15;16:10,南昌到上海,,0001101,,四川航空;3U4049,-,,
南昌昌北国际机场;上海浦东国际机场,14:15;16:10,南昌到上海,,1111111,,中国国航;CA3809,-,,
南昌昌北国际机场;上海浦东国际机场,14:15;16:10,南昌到上海,,1111111,,吉祥航空;HO3959,-,,
南昌昌北国际机场;上海浦东国际机场,14:15;16:10,南昌到上海,,1111111,,昆明航空;KY9509,¥440起;09-16周一,,
南昌昌北国际机场;上海浦东国际机场,14:15;16:10,南昌到上海,,1111111,,深圳航空;ZH9509,¥780起;09-15周日,,
长春龙嘉国际机场;上海浦东国际机场,14:25;18:55,长春到上海,,0011000,,上海航空;FM9354,-,,
长春龙嘉国际机场;上海浦东国际机场,14:25;19:00,长春到上海,,1000101,,上海航空;FM9354,-,,
长春龙嘉国际机场;上海浦东国际机场,14:25;19:05,长春到上海,,0000010,,上海航空;FM9354,-,,
长春龙嘉国际机场;上海浦东国际机场,14:25;19:00,长春到上海,,1000101,,东方航空;MU9354,-,,
大连周水子国际机场;上海浦东国际机场,14:25;16:05,大连到上海,,1111111,,春秋航空;9C8858,-,,
长春龙嘉国际机场;上海浦东国际机场,14:25;17:35,长春到上海,,1111111,,南方航空;CZ6155,-,,
长春龙嘉国际机场;上海浦东国际机场,14:25;17:35,长春到上海,,1111111,,东方航空;MU3402,-,,
临汾乔李机场;上海浦东国际机场,14:30;17:00,临汾到上海,,1111111,,中国国航;CA3256,-,,
沈阳桃仙国际机场;上海浦东国际机场,14:30;17:15,沈阳到上海,,1110001,,上海航空;FM9188,-,,
兰州中川机场;上海浦东国际机场,14:30;17:25,兰州到上海,,1111111,,上海航空;FM9222,-,,
临汾乔李机场;上海浦东国际机场,14:30;17:00,临汾到上海,,1111111,,吉祥航空;HO1032,-,,
临汾乔李机场;上海浦东国际机场,14:30;17:00,临汾到上海,,1111111,,东方航空;MU4936,-,,
沈阳桃仙国际机场;上海浦东国际机场,14:30;17:15,沈阳到上海,,1110001,,东方航空;MU9188,-,,
兰州中川机场;上海浦东国际机场,14:30;17:25,兰州到上海,,1111111,,东方航空;MU9222,-,,
武汉天河国际机场;上海浦东国际机场,14:35;16:15,武汉到上海,,0001010,,东方航空;MU5372,-,,
珠海金湾机场;上海浦东国际机场,14:50;17:15,珠海到上海,,1111111,,吉祥航空;HO3614,-,,
珠海金湾机场;上海浦东国际机场,14:50;17:15,珠海到上海,,1111111,,东方航空;MU5264,-,,
西安咸阳国际机场;上海浦东国际机场,14:50;17:15,西安到上海,,1000100,,东方航空;MU786,-,,
黑河机场;上海浦东国际机场,14:55;20:30,黑河到上海,,1111111,,东方航空;MU5614,-,,
三亚凤凰国际机场;上海浦东国际机场,14:55;18:20,三亚到上海,,1010001,,东方航空;MU5378,-,,
沈阳桃仙国际机场;上海浦东国际机场,15:00;17:40,沈阳到上海,,1111111,,南方航空;CZ6501,-,,
西安咸阳国际机场;上海浦东国际机场,15:00;17:20,西安到上海,,1111111,,吉祥航空;HO1212,-,,
西安咸阳国际机场;上海浦东国际机场,15:00;17:20,西安到上海,,1111111,,东方航空;MU4752,-,,
西安咸阳国际机场;上海浦东国际机场,15:00;17:20,西安到上海,,1111111,,深圳航空;ZH5112,-,,
哈尔滨太平国际机场;上海浦东国际机场,15:05;18:10,哈尔滨到上海,,1010101,,中国国航;CA1984,-,,
武汉天河国际机场;上海浦东国际机场,15:05;16:40,武汉到上海,,1111111,,南方航空;CZ9379,-,,
武汉天河国际机场;上海浦东国际机场,15:05;16:40,武汉到上海,,1111111,,吉祥航空;HO3616,-,,
武汉天河国际机场;上海浦东国际机场,15:05;16:40,武汉到上海,,1111111,,东方航空;MU2533,-,,
哈尔滨太平国际机场;上海浦东国际机场,15:05;18:10,哈尔滨到上海,,1010101,,深圳航空;ZH1984,-,,
兰州中川机场;上海浦东国际机场,15:10;17:55,兰州到上海,,1010101,,中国国航;CA3263,-,,
兰州中川机场;上海浦东国际机场,15:10;17:55,兰州到上海,,0101000,,中国国航;CA3265,-,,
兰州中川机场;上海浦东国际机场,15:10;17:55,兰州到上海,,1010101,,吉祥航空;HO1102,-,,
兰州中川机场;上海浦东国际机场,15:10;17:55,兰州到上海,,0101000,,吉祥航空;HO1104,-,,
兰州中川机场;上海浦东国际机场,15:10;18:00,兰州到上海,,0000010,,吉祥航空;HO1104,-,,
兰州中川机场;上海浦东国际机场,15:10;17:55,兰州到上海,,1010101,,东方航空;MU4818,-,,
兰州中川机场;上海浦东国际机场,15:10;17:55,兰州到上海,,0101000,,东方航空;MU4820,-,,
兰州中川机场;上海浦东国际机场,15:10;18:00,兰州到上海,,0000010,,东方航空;MU4820,-,,
深圳宝安国际机场;上海浦东国际机场,15:15;17:40,深圳到上海,,1111111,,四川航空;3U4057,-,,
青岛流亭国际机场;上海浦东国际机场,15:15;16:55,青岛到上海,,1010001,,中国国航;CA3276,-,,
青岛流亭国际机场;上海浦东国际机场,15:15;17:00,青岛到上海,,0101010,,中国国航;CA3276,-,,
青岛流亭国际机场;上海浦东国际机场,15:15;17:05,青岛到上海,,0000100,,中国国航;CA3276,-,,
深圳宝安国际机场;上海浦东国际机场,15:15;17:40,深圳到上海,,1111111,,中国国航;CA3813,-,,
青岛流亭国际机场;上海浦东国际机场,15:15;16:55,青岛到上海,,1010001,,吉祥航空;HO1664,-,,
青岛流亭国际机场;上海浦东国际机场,15:15;17:00,青岛到上海,,0101010,,吉祥航空;HO1664,-,,
青岛流亭国际机场;上海浦东国际机场,15:15;17:05,青岛到上海,,0000100,,吉祥航空;HO1664,-,,
深圳宝安国际机场;上海浦东国际机场,15:15;17:40,深圳到上海,,1111111,,吉祥航空;HO3963,-,,
深圳宝安国际机场;上海浦东国际机场,15:15;17:40,深圳到上海,,1111111,,昆明航空;KY9513,-,,
青岛流亭国际机场;上海浦东国际机场,15:15;16:55,青岛到上海,,1010001,,东方航空;MU4882,-,,
青岛流亭国际机场;上海浦东国际机场,15:15;17:00,青岛到上海,,0101010,,东方航空;MU4882,-,,
青岛流亭国际机场;上海浦东国际机场,15:15;17:05,青岛到上海,,0000100,,东方航空;MU4882,-,,
泉州晋江机场;上海浦东国际机场,15:15;17:10,泉州到上海,,1111111,,西部航空;PN6307,-,,
深圳宝安国际机场;上海浦东国际机场,15:15;17:40,深圳到上海,,1111111,,深圳航空;ZH9513,-,,
昆明长水国际机场;上海浦东国际机场,15:20;21:00,昆明到上海,,0010010,,东方航空;MU5438,-,,
昆明长水国际机场;上海浦东国际机场,15:20;21:10,昆明到上海,,1000000,,东方航空;MU5438,-,,
昆明长水国际机场;上海浦东国际机场,15:20;21:20,昆明到上海,,0000001,,东方航空;MU5438,-,,
海拉尔呼伦贝尔东山国际机场;上海浦东国际机场,15:20;21:00,海拉尔到上海,,1011010,,东方航空;MU7792,¥950起;09-29周日,,
海拉尔呼伦贝尔东山国际机场;上海浦东国际机场,15:20;21:05,海拉尔到上海,,0100001,,东方航空;MU7792,¥950起;09-29周日,,
海拉尔呼伦贝尔东山国际机场;上海浦东国际机场,15:20;21:15,海拉尔到上海,,0000100,,东方航空;MU7792,¥950起;09-29周日,,
重庆江北国际机场;上海浦东国际机场,15:20;18:00,重庆到上海,,0000100,,四川航空;3U5037,-,,
重庆江北国际机场;上海浦东国际机场,15:20;18:00,重庆到上海,,0000100,,南方航空;CZ9362,-,,
重庆江北国际机场;上海浦东国际机场,15:20;18:00,重庆到上海,,0000100,,吉祥航空;HO3720,-,,
丽江三义机场;上海浦东国际机场,15:20;19:05,丽江到上海,,1111111,,首都航空;JD5665,-,,
重庆江北国际机场;上海浦东国际机场,15:20;17:45,重庆到上海,,1111011,,东方航空;MU5430,-,,
重庆江北国际机场;上海浦东国际机场,15:20;18:00,重庆到上海,,0000100,,东方航空;MU5430,-,,
桂林两江国际机场;上海浦东国际机场,15:25;17:45,桂林到上海,,0000010,,上海航空;FM9350,-,,
桂林两江国际机场;上海浦东国际机场,15:25;17:45,桂林到上海,,0000010,,东方航空;MU9350,-,,
西宁曹家堡机场;上海浦东国际机场,15:30;18:30,西宁到上海,,1111111,,吉祥航空;HO3714,-,,
西宁曹家堡机场;上海浦东国际机场,15:30;18:30,西宁到上海,,1111111,,东方航空;MU2310,-,,
吕梁机场;上海浦东国际机场,15:30;18:05,吕梁到上海,,1010101,,东方航空;MU5142,-,,
达州河市机场;上海浦东国际机场,15:30;18:05,达州到上海,,1010100,,东方航空;MU5442,-,,
哈尔滨太平国际机场;上海浦东国际机场,15:40;18:50,哈尔滨到上海,,1111111,,南方航空;CZ6251,-,,
桂林两江国际机场;上海浦东国际机场,15:40;18:10,桂林到上海,,1111101,,上海航空;FM9350,-,,
桂林两江国际机场;上海浦东国际机场,15:40;18:10,桂林到上海,,1111101,,东方航空;MU9350,-,,
朝阳机场;上海浦东国际机场,15:45;19:45,朝阳到上海,,1111111,,东方航空;MU5642,-,,
重庆江北国际机场;上海浦东国际机场,15:45;18:15,重庆到上海,,1111111,,南方航空;CZ8109,-,,
温州龙湾国际机场;上海浦东国际机场,15:45;16:50,温州到上海,,1111101,,上海航空;FM9526,¥200起;09-24周二,,
温州龙湾国际机场;上海浦东国际机场,15:45;17:00,温州到上海,,0000010,,上海航空;FM9526,¥200起;09-24周二,,
温州龙湾国际机场;上海浦东国际机场,15:45;16:50,温州到上海,,1111101,,东方航空;MU9526,¥180起;10-13周日,,
温州龙湾国际机场;上海浦东国际机场,15:45;17:00,温州到上海,,0000010,,东方航空;MU9526,¥180起;10-13周日,,
重庆江北国际机场;上海浦东国际机场,15:45;18:15,重庆到上海,,1111111,,重庆航空;OQ2309,-,,
白山长机场;上海浦东国际机场,15:50;20:40,白山到上海,,0101010,,东方航空;MU9636,-,,
泉州晋江机场;上海浦东国际机场,15:50;17:40,泉州到上海,,1111111,,中国国航;CA3553,-,,
大连周水子国际机场;上海浦东国际机场,15:50;17:50,大连到上海,,1111111,,南方航空;CZ6535,-,,
通辽机场;上海浦东国际机场,15:50;18:55,通辽到上海,,1000100,,吉祥航空;HO1238,-,,
泉州晋江机场;上海浦东国际机场,15:50;17:40,泉州到上海,,1111111,,吉祥航空;HO3803,-,,
泉州晋江机场;上海浦东国际机场,15:50;17:40,泉州到上海,,1111111,,昆明航空;KY9191,-,,
大连周水子国际机场;上海浦东国际机场,15:50;17:50,大连到上海,,1111111,,东方航空;MU3238,-,,
通辽机场;上海浦东国际机场,15:50;18:55,通辽到上海,,1000100,,东方航空;MU4900,-,,
武汉天河国际机场;上海浦东国际机场,15:50;17:20,武汉到上海,,1000000,,东方航空;MU5372,-,,
泉州晋江机场;上海浦东国际机场,15:50;17:40,泉州到上海,,1111111,,深圳航空;ZH8723,-,,
大连周水子国际机场;上海浦东国际机场,15:55;19:50,大连到上海,,0010001,,上海航空;FM9126,-,,
大连周水子国际机场;上海浦东国际机场,15:55;20:00,大连到上海,,0001000,,上海航空;FM9126,-,,
大连周水子国际机场;上海浦东国际机场,15:55;19:50,大连到上海,,0010001,,东方航空;MU9126,-,,
大连周水子国际机场;上海浦东国际机场,15:55;20:00,大连到上海,,0001000,,东方航空;MU9126,-,,
昆明长水国际机场;上海浦东国际机场,15:55;19:20,昆明到上海,,1010101,,四川航空;3U8201,-,,
珠海金湾机场;上海浦东国际机场,15:55;18:25,珠海到上海,,1111110,,南方航空;CZ3755,-,,
昆明长水国际机场;上海浦东国际机场,15:55;19:20,昆明到上海,,1010101,,吉祥航空;HO3413,-,,
乌鲁木齐地窝堡国际机场;上海浦东国际机场,15:55;20:45,乌鲁木齐到上海,,1111111,,吉祥航空;HO3650,-,,
喀什机场;上海浦东国际机场,15:55;21:25,喀什到上海,,0000010,,吉祥航空;HO3766,-,,
珠海金湾机场;上海浦东国际机场,15:55;18:25,珠海到上海,,1111110,,厦门航空;MF1653,-,,
昆明长水国际机场;上海浦东国际机场,15:55;19:20,昆明到上海,,1010101,,东方航空;MU3989,-,,
喀什机场;上海浦东国际机场,15:55;21:25,喀什到上海,,0000010,,东方航空;MU5246,-,,
乌鲁木齐地窝堡国际机场;上海浦东国际机场,15:55;20:45,乌鲁木齐到上海,,1111111,,东方航空;MU5700,-,,
大连周水子国际机场;上海浦东国际机场,16:00;20:00,大连到上海,,0000010,,上海航空;FM9126,-,,
大连周水子国际机场;上海浦东国际机场,16:00;20:00,大连到上海,,0000010,,东方航空;MU9126,-,,
伊宁市伊宁机场;上海浦东国际机场,16:00;23:20,伊宁市到上海,,1010101,,金鹏航空;Y87516,-,,
成都双流国际机场;上海浦东国际机场,16:00;18:50,成都到上海,,0110110,,四川航空;3U5005,-,,
珠海金湾机场;上海浦东国际机场,16:00;18:25,珠海到上海,,0000001,,南方航空;CZ3755,-,,
成都双流国际机场;上海浦东国际机场,16:00;18:50,成都到上海,,0110110,,南方航空;CZ9163,-,,
成都双流国际机场;上海浦东国际机场,16:00;18:50,成都到上海,,0110110,,吉祥航空;HO3694,-,,
珠海金湾机场;上海浦东国际机场,16:00;18:25,珠海到上海,,0000001,,厦门航空;MF1653,-,,
成都双流国际机场;上海浦东国际机场,16:00;18:50,成都到上海,,1001011,,东方航空;MU5414,-,,
昆明长水国际机场;上海浦东国际机场,16:05;21:40,昆明到上海,,1111110,,厦门航空;MF3049,-,,
昆明长水国际机场;上海浦东国际机场,16:05;22:30,昆明到上海,,0000001,,厦门航空;MF3049,-,,
昆明长水国际机场;上海浦东国际机场,16:05;21:40,昆明到上海,,1111110,,东方航空;MU5588,-,,
昆明长水国际机场;上海浦东国际机场,16:05;22:30,昆明到上海,,0000001,,东方航空;MU5588,¥650起;10-01周二,,
贵阳龙洞堡国际机场;上海浦东国际机场,16:05;18:35,贵阳到上海,,1111111,,南方航空;CZ6351,-,,
长春龙嘉国际机场;上海浦东国际机场,16:05;18:55,长春到上海,,1111100,,南方航空;CZ6553,-,,
贵阳龙洞堡国际机场;上海浦东国际机场,16:05;18:35,贵阳到上海,,1111111,,东方航空;MU3252,-,,
昆明长水国际机场;上海浦东国际机场,16:10;21:20,昆明到上海,,1111111,,上海航空;FM9398,-,,
昆明长水国际机场;上海浦东国际机场,16:10;21:20,昆明到上海,,1111111,,东方航空;MU9398,-,,
白山长机场;上海浦东国际机场,16:10;21:00,白山到上海,,0000001,,东方航空;MU9636,-,,
成都双流国际机场;上海浦东国际机场,16:10;19:10,成都到上海,,0101000,,中国国航;CA4513,-,,
天津滨海国际机场;上海浦东国际机场,16:10;18:20,天津到上海,,1111111,,中国联航;KN2215,-,,
天津滨海国际机场;上海浦东国际机场,16:10;18:20,天津到上海,,1111111,,东方航空;MU3747,-,,
成都双流国际机场;上海浦东国际机场,16:10;19:10,成都到上海,,0101000,,西藏航空;TV6439,-,,
成都双流国际机场;上海浦东国际机场,16:10;19:10,成都到上海,,0101000,,深圳航空;ZH4513,-,,
齐齐哈尔三家子机场;上海浦东国际机场,16:15;21:35,齐齐哈尔到上海,,1010100,,东方航空;MU2442,-,,
